freq,psd_x,psd_y,psd_z,psd_xyz
168.9,3.981e+03,1.322e+05,4.954e+03,1.412e+05
170.5,3.941e+03,1.511e+05,5.408e+03,1.605e+05
172.1,3.903e+03,1.795e+05,6.072e+03,1.895e+05
173.7,3.889e+03,2.271e+05,7.368e+03,2.384e+05
175.3,3.906e+03,2.607e+05,8.051e+03,2.726e+05
176.8,3.831e+03,2.984e+05,9.092e+03,3.113e+05
178.4,3.674e+03,3.409e+05,1.040e+04,3.550e+05
180.0,3.449e+03,3.800e+05,1.092e+04,3.944e+05
181.6,3.298e+03,3.932e+05,1.081e+04,4.073e+05
183.2,3.228e+03,4.429e+05,1.184e+04,4.580e+05
184.7,3.203e+03,5.078e+05,1.309e+04,5.241e+05
186.3,3.094e+03,5.108e+05,1.238e+04,5.263e+05
187.9,3.071e+03,5.976e+05,1.428e+04,6.150e+05
189.5,3.255e+03,7.676e+05,1.795e+04,7.888e+05
191.1,3.368e+03,8.646e+05,1.930e+04,8.872e+05
192.6,3.228e+03,9.555e+05,2.054e+04,9.792e+05
194.2,3.175e+03,1.062e+06,2.201e+04,1.087e+06
195.8,3.397e+03,1.083e+06,2.152e+04,1.108e+06
197.4,3.399e+03,1.159e+06,2.227e+04,1.185e+06
198.9,3.252e+03,1.302e+06,2.392e+04,1.329e+06
200.5,3.351e+03,1.425e+06,2.517e+04,1.454e+06
202.1,3.383e+03,1.545e+06,2.618e+04,1.574e+06
