freq,psd_x,psd_y,psd_z,psd_xyz,zv(126.6),mzv(130.0),ei(149.8),2hump_ei(145.6),3hump_ei(149.8)
184.8,5.897e+01,2.815e+01,4.014e+01,1.272e+02,0.552,0.121,0.054,0.053,0.028
186.4,6.618e+01,2.759e+01,4.203e+01,1.358e+02,0.564,0.118,0.062,0.050,0.032
187.9,6.187e+01,2.982e+01,4.706e+01,1.388e+02,0.575,0.114,0.071,0.047,0.036
189.5,6.675e+01,2.779e+01,5.163e+01,1.462e+02,0.585,0.110,0.080,0.044,0.041
191.1,6.960e+01,3.136e+01,5.806e+01,1.590e+02,0.596,0.106,0.089,0.041,0.045
192.7,7.280e+01,3.282e+01,5.486e+01,1.605e+02,0.606,0.102,0.099,0.037,0.049
194.3,7.680e+01,3.470e+01,5.655e+01,1.680e+02,0.616,0.098,0.109,0.034,0.052
195.8,7.329e+01,3.540e+01,5.627e+01,1.650e+02,0.626,0.096,0.119,0.030,0.055
197.4,8.500e+01,3.963e+01,6.398e+01,1.886e+02,0.635,0.094,0.129,0.029,0.058
199.0,9.322e+01,4.204e+01,6.435e+01,1.996e+02,0.645,0.092,0.139,0.029,0.061
200.6,9.858e+01,4.117e+01,7.405e+01,2.138e+02,0.654,0.090,0.150,0.029,0.063
202.2,1.083e+02,4.145e+01,7.528e+01,2.251e+02,0.662,0.088,0.160,0.030,0.065
