freq,psd_x,psd_y,psd_z,psd_xyz
176.8,7.116e+04,1.788e+03,3.167e+03,7.611e+04
178.3,7.151e+04,1.932e+03,3.735e+03,7.717e+04
179.9,6.899e+04,2.084e+03,3.976e+03,7.505e+04
181.5,6.926e+04,2.218e+03,4.464e+03,7.594e+04
183.1,7.005e+04,2.136e+03,4.852e+03,7.704e+04
184.6,7.329e+04,2.114e+03,4.452e+03,7.986e+04
186.2,7.275e+04,1.967e+03,3.764e+03,7.848e+04
187.8,6.951e+04,1.911e+03,3.927e+03,7.535e+04
189.4,7.672e+04,2.286e+03,4.009e+03,8.302e+04
191.0,8.005e+04,2.190e+03,5.005e+03,8.724e+04
192.5,8.985e+04,2.159e+03,5.831e+03,9.784e+04
194.1,9.271e+04,2.259e+03,7.073e+03,1.020e+05
195.7,9.922e+04,2.510e+03,8.640e+03,1.104e+05
197.3,1.062e+05,2.671e+03,1.091e+04,1.198e+05
198.9,1.199e+05,3.239e+03,1.420e+04,1.374e+05
